id,Item,EmpName,Storage & Organization
37,Avery Binder Labels,Eugene Barchas,Binders and Binder Accessories
38,Hon Every-Day� Chair Series Swivel Task Chairs,Eugene Barchas,Chairs & Chairmats
39,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Eugene Barchas,Paper
40,Global Troy� Executive Leather Low-Back Tilter,Edward Hooks,Chairs & Chairmats
41,XtraLife� ClearVue� Slant-D� Ring Binders by Cardinal,Brad Eason,Binders and Binder Accessories
42,Computer Printout Paper with Letter-Trim Perforations,Nicole Hansen,Paper
43,6160,Dorothy Wardle,Telephones and Communication
44,Avery 49,Aaron Bergman,Labels
45,Hoover Portapower� Portable Vacuum,Jim Radford,Appliances
46,Timeport L7089,Annie Cyprus,Telephones and Communication
47,Avery 510,Annie Cyprus,Labels
48,Xerox 1881,Annie Cyprus,Paper
49,LX 788,Annie Cyprus,Telephones and Communication
50,"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl",Annie Cyprus,Binders and Binder Accessories
51,"Memorex 4.7GB DVD-RAM, 3/Pack",Clay Rozendal,Computer Peripherals
52,Unpadded Memo Slips,Don Jones,Paper
53,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Beth Thompson,Paper
54,"Eldon Expressions� Desk Accessory, Wood Pencil Holder, Oak",Frank Price,Office Furnishings
55,Bell Sonecor JB700 Caller ID,Michelle Lonsdale,Telephones and Communication
56,Avery Arch Ring Binders,Ann Chong,Binders and Binder Accessories
57,APC 7 Outlet Network SurgeArrest Surge Protector,Ann Chong,Appliances
58,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Joy Bell,Office Furnishings
59,Accessory4,Joy Bell,Telephones and Communication
60,Personal Creations� Ink Jet Cards and Labels,Skye Norling,Paper
61,High Speed Automatic Electric Letter Opener,Barry Weirich,"Scissors, Rulers and Trimmers"
62,Xerox 1966,Grant Carroll,Paper
63,Xerox 213,Grant Carroll,Paper
64,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Adrian Hane,Pens & Art Supplies
65,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Skye Norling,Paper
66,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Skye Norling,Paper
67,Crate-A-Files�,Andrew Gjertsen,Storage & Organization
68,"Angle-D Binders with Locking Rings, Label Holders",Ralph Knight,Binders and Binder Accessories
69,"80 Minute CD-R Spindle, 100/Pack - Staples",Dorothy Wardle,Computer Peripherals
70,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Dorothy Wardle,Bookcases
71,12-1/2 Diameter Round Wall Clock,Dorothy Wardle,Office Furnishings
72,SAFCO Arco Folding Chair,Grant Carroll,Chairs & Chairmats
73,"#10 White Business Envelopes,4 1/8 x 9 1/2",Barry Weirich,Envelopes
74,3M Office Air Cleaner,Beth Paige,Appliances
75,"Global Leather and Oak Executive Chair, Black",Sylvia Foulston,Chairs & Chairmats
76,Xerox 1936,Nicole Hansen,Paper
77,Xerox 214,Nicole Hansen,Paper
78,Carina Double Wide Media Storage Towers in Natural & Black,Nicole Hansen,Storage & Organization
79,Staples� General Use 3-Ring Binders,Beth Paige,Binders and Binder Accessories
80,Xerox 1904,Beth Paige,Paper
81,Luxo Professional Combination Clamp-On Lamps,Beth Paige,Office Furnishings
82,Xerox 217,Beth Paige,Paper
83,Revere Boxed Rubber Bands by Revere,Beth Paige,Rubber Bands
84,"Acco Smartsocket� Table Surge Protector, 6 Color-Coded Adapter Outlets",Sylvia Foulston,Appliances
85,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Bryan Davis,Storage & Organization
86,Hon 4070 Series Pagoda� Round Back Stacking Chairs,Joy Bell,Chairs & Chairmats
87,Xerox 1887,Joy Bell,Paper
88,Xerox 1891,Joy Bell,Paper
89,Avery 506,Alan Barnes,Labels
90,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Grant Carroll,Bookcases
91,"Lifetime Advantage� Folding Chairs, 4/Carton",Grant Carroll,Chairs & Chairmats
92,Microsoft Natural Multimedia Keyboard,Grant Carroll,Computer Peripherals
93,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Delfina Latchford,Paper
94,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Don Jones,Binders and Binder Accessories
95,Bevis Boat-Shaped Conference Table,Doug Bickford,Tables
96,Linden� 12" Wall Clock With Oak Frame,Doug Bickford,Office Furnishings
97,Newell 326,Doug Bickford,Pens & Art Supplies
98,Prismacolor Color Pencil Set,Jamie Kunitz,Pens & Art Supplies
99,Xerox Blank Computer Paper,Anthony Johnson,Paper
100,600 Series Flip,Ralph Knight,Telephones and Communication
101,Fellowes Recycled Storage Drawers,Allen Rosenblatt,Storage & Organization
102,Satellite Sectional Post Binders,Barry Weirich,Binders and Binder Accessories
103,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Doug Bickford,Office Furnishings
104,Avery 487,Carl Jackson,Labels
105,Bevis Round Conference Table Top & Single Column Base,Brendan Dodson,Tables
106,"GBC Twin Loop� Wire Binding Elements, 9/16"" Spine, Black",Edward Hooks,Binders and Binder Accessories
107,Hanging Personal Folder File,Jamie Kunitz,Storage & Organization
108,"Bevis Round Conference Table Top, X-Base",Jamie Kunitz,Tables
109,5125,Michelle Lonsdale,Telephones and Communication
110,Electrix Halogen Magnifier Lamp,Michelle Lonsdale,Office Furnishings
111,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Brendan Dodson,Office Machines
112,Fellowes Black Plastic Comb Bindings,Hunter Glantz,Binders and Binder Accessories
113,Polycom ViewStation� Adapter H323 Videoconferencing Unit,Sylvia Foulston,Office Machines
114,Hon GuestStacker Chair,Eugene Barchas,Chairs & Chairmats
115,Eldon� Wave Desk Accessories,Jim Radford,Office Furnishings
116,Sharp AL-1530CS Digital Copier,Carlos Soltero,Copiers and Fax
117,"Tennsco Lockers, Gray",Carlos Soltero,Storage & Organization
118,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Carlos Soltero,Labels
119,Newell 323,Carlos Soltero,Pens & Art Supplies
120,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Jim Radford,Chairs & Chairmats
121,Spiral Phone Message Books with Labels by Adams,Jim Radford,Paper
122,Crate-A-Files�,Grant Carroll,Storage & Organization
123,Bell Sonecor JB700 Caller ID,Grant Carroll,Telephones and Communication
124,Holmes 99% HEPA Air Purifier,Skye Norling,Appliances
125,Xerox 224,Doug Bickford,Paper
126,Xerox 1906,Grant Carroll,Paper
127,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Muhammed MacIntyre,Binders and Binder Accessories
128,Xerox 188,Muhammed MacIntyre,Paper
129,Xerox 1932,Muhammed MacIntyre,Paper
130,GBC Linen Binding Covers,Doug Bickford,Binders and Binder Accessories
131,GBC Recycled Grain Textured Covers,Doug Bickford,Binders and Binder Accessories
132,"Sauder Facets Collection Library, Sky Alder Finish",Beth Thompson,Bookcases
133,"Fellowes Basic 104-Key Keyboard, Platinum",Ralph Knight,Computer Peripherals
134,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Carl Jackson,Appliances
135,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Carl Jackson,Bookcases
136,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Dorothy Badders,Office Furnishings
137,Panasonic KX-P1150 Dot Matrix Printer,Dorothy Badders,Office Machines
138,Newell 327,Dorothy Badders,Pens & Art Supplies
139,Xerox 1893,Delfina Latchford,Paper
140,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Julia West,Chairs & Chairmats
141,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Julia West,Office Furnishings
142,"DAX Copper Panel Document Frame, 5 x 7 Size",Brad Eason,Office Furnishings
143,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Thomas Seio,Bookcases
144,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Thomas Seio,Office Furnishings
145,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Thomas Seio,Paper
146,"Memorex Slim 80 Minute CD-R, 10/Pack",Monica Federle,Computer Peripherals
147,Aluminum Document Frame,Monica Federle,Office Furnishings
148,"Memorex 80 Minute CD-R Spindle, 100/Pack",Michelle Lonsdale,Computer Peripherals
149,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Frank Price,Storage & Organization
150,Accessory36,Frank Price,Telephones and Communication
151,Xerox 20,Bryan Davis,Paper
152,Surelock� Post Binders,Don Jones,Binders and Binder Accessories
153,Colorific� Watercolor Pencils,Carlos Soltero,Pens & Art Supplies
154,"*Staples* vLetter Openers, 2/Pack",Carlos Soltero,"Scissors, Rulers and Trimmers"
155,Hon 4700 Series Mobuis� Mid-Back Task Chairs with Adjustable Arms,Nicole Hansen,Chairs & Chairmats
156,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Nicole Hansen,Tables
157,Eldon Econocleat� Chair Mats for Low Pile Carpets,Beth Thompson,Office Furnishings
158,Prang Drawing Pencil Set,Beth Thompson,Pens & Art Supplies
159,T39m,Beth Thompson,Telephones and Communication
160,Xerox 1982,Nicole Hansen,Paper
161,Xerox 1924,Carlos Soltero,Paper
162,Turquoise Lead Holder with Pocket Clip,Carlos Soltero,Pens & Art Supplies
163,Okidata ML395C Color Dot Matrix Printer,Dorothy Badders,Office Machines
164,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Muhammed MacIntyre,Chairs & Chairmats
165,Microsoft Internet Keyboard,Muhammed MacIntyre,Computer Peripherals
166,Xerox 1982,Don Miller,Paper
167,Global Ergonomic Managers Chair,Sylvia Foulston,Chairs & Chairmats
168,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Becky Castell,Chairs & Chairmats
169,Xerox 1971,Dorothy Wardle,Paper
170,Eldon Portable Mobile Manager,Dorothy Wardle,Storage & Organization
171,Accessory6,Dorothy Wardle,Telephones and Communication
172,Durable Pressboard Binders,Ann Chong,Binders and Binder Accessories
173,Fellowes 17-key keypad for PS/2 interface,Ann Chong,Computer Peripherals
174,StarTAC ST7762,Ann Chong,Telephones and Communication
175,Accessory21,Clay Rozendal,Telephones and Communication
176,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Grant Carroll,Binders and Binder Accessories
177,Staples 6 Outlet Surge,Brendan Dodson,Appliances
178,Recycled Eldon Regeneration Jumbo File,Carlos Daly,Storage & Organization
179,Verbatim DVD-R 4.7GB authoring disc,Alan Barnes,Computer Peripherals
180,Canon P1-DHIII Palm Printing Calculator,Alan Barnes,Office Machines
181,GBC Binding covers,Alan Barnes,Binders and Binder Accessories
182,Newell 323,Nicole Hansen,Pens & Art Supplies
183,"Global Stack Chair without Arms, Black",Cari Schnelling,Chairs & Chairmats
184,Speediset Carbonless Redi-Letter� 7" x 8 1/2",Chad Cunningham,Paper
185,GBC Recycled Regency Composition Covers,Bryan Mills,Binders and Binder Accessories
186,Accessory29,Bryan Mills,Telephones and Communication
187,Newell 323,Adrian Hane,Pens & Art Supplies
188,SANFORD Major Accent� Highlighters,Adrian Hane,Pens & Art Supplies
189,Polycom ViaVideo� Desktop Video Communications Unit,Rick Reed,Office Machines
190,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Heather Kirkland,Pens & Art Supplies
191,Accessory24,Fred Wasserman,Telephones and Communication
192,Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock,Becky Castell,Office Furnishings
193,Recycled Steel Personal File for Standard File Folders,Becky Castell,Storage & Organization
194,"Eldon Expressions� Desk Accessory, Wood Pencil Holder, Oak",Beth Thompson,Office Furnishings
195,Accessory39,Claudia Miner,Telephones and Communication
196,Bell Sonecor JB700 Caller ID,Jack Lebron,Telephones and Communication
197,#10- 4 1/8" x 9 1/2" Security-Tint Envelopes,Alan Barnes,Envelopes
198,GBC Standard Plastic Binding Systems Combs,Carlos Soltero,Binders and Binder Accessories
199,Xerox 1930,Clay Rozendal,Paper
200,Avery 474,Clay Rozendal,Labels
201,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Julia West,Bookcases
202,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Alan Barnes,Office Machines
203,"IBM 80 Minute CD-R Spindle, 50/Pack",Joy Bell,Computer Peripherals
204,"Peel & Seel� Recycled Catalog Envelopes, Brown",Joy Bell,Envelopes
205,Avery 506,Joy Bell,Labels
206,Prang Drawing Pencil Set,Jack Lebron,Pens & Art Supplies
207,TDK 4.7GB DVD+RW,Anthony Johnson,Computer Peripherals
208,U.S. Robotics 56K Internet Call Modem,Anthony Johnson,Computer Peripherals
209,Xerox 190,Anthony Johnson,Paper
210,Standard Line� �While You Were Out� Hardbound Telephone Message Book,Eugene Barchas,Paper
211,CF 888,Eugene Barchas,Telephones and Communication
212,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Thomas Seio,Office Machines
213,Dana Halogen Swing-Arm Architect Lamp,Bryan Mills,Office Furnishings
214,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Bryan Mills,Tables
215,Lexmark Z25 Color Inkjet Printer,Eugene Barchas,Office Machines
216,Hon Multipurpose Stacking Arm Chairs,Sylvia Foulston,Chairs & Chairmats
217,Hon Olson Stacker Stools,Sylvia Foulston,Chairs & Chairmats
218,Executive Impressions 14" Two-Color Numerals Wall Clock,Carl Ludwig,Office Furnishings
219,12-1/2 Diameter Round Wall Clock,Julia West,Office Furnishings
220,Epson DFX5000+ Dot Matrix Printer,Don Jones,Office Machines
221,"Fellowes Basic 104-Key Keyboard, Platinum",Mike Pelletier,Computer Peripherals
222,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Mike Pelletier,Envelopes
223,GBC Standard Therm-A-Bind Covers,Eugene Barchas,Binders and Binder Accessories
224,"80 Minute CD-R Spindle, 100/Pack - Staples",Ann Chong,Computer Peripherals
225,Xerox 1892,Ann Chong,Paper
226,Staples Paper Clips,Charles McCrossin,Rubber Bands
227,"Metal Folding Chairs, Beige, 4/Carton",Annie Cyprus,Chairs & Chairmats
228,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Annie Cyprus,Computer Peripherals
229,Computer Printout Paper with Letter-Trim Perforations,Carlos Soltero,Paper
230,Bush Mission Pointe Library,Doug Bickford,Bookcases
231,Hon Olson Stacker Stools,Carlos Daly,Chairs & Chairmats
232,Xerox 1929,Fred Wasserman,Paper
233,Home/Office Personal File Carts,Fred Wasserman,Storage & Organization
234,Avery 507,Sylvia Foulston,Labels
235,i470,Michelle Lonsdale,Telephones and Communication
236,3M Organizer Strips,Sylvia Foulston,Binders and Binder Accessories
237,"Imation 3.5 IBM Diskettes, 10/Box",Sylvia Foulston,Computer Peripherals
238,"GE 4 Foot Flourescent Tube, 40 Watt",Sylvia Foulston,Office Furnishings
239,300 Series Non-Flip,Sylvia Foulston,Telephones and Communication
240,Executive Impressions 13" Chairman Wall Clock,Charlotte Melton,Office Furnishings
241,Micro Innovations 104 Keyboard,Barry French,Computer Peripherals
242,US Robotics 56K V.92 External Faxmodem,Heather Kirkland,Computer Peripherals
243,Fellowes Staxonsteel� Drawer Files,Heather Kirkland,Storage & Organization
244,Accessory39,Heather Kirkland,Telephones and Communication
245,Telescoping Adjustable Floor Lamp,Henry Goldwyn,Office Furnishings
246,Canon MP41DH Printing Calculator,Frank Price,Office Machines
247,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Jim Radford,Storage & Organization
248,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Jim Radford,Telephones and Communication
249,"Memo Book, 100 Message Capacity, 5 3/8� x 11�",Ralph Knight,Paper
250,Belkin 6 Outlet Metallic Surge Strip,Delfina Latchford,Appliances
251,Xerox 21,Delfina Latchford,Paper
252,GBC DocuBind TL200 Manual Binding Machine,Roy Skaria,Binders and Binder Accessories
253,"Sauder Forest Hills Library, Woodland Oak Finish",Roy Skaria,Bookcases
254,Xerox 1940,Monica Federle,Paper
255,Bagged Rubber Bands,Monica Federle,Rubber Bands
256,Xerox 1897,Charles McCrossin,Paper
257,Poly Designer Cover & Back,Don Miller,Binders and Binder Accessories
258,Bionaire Personal Warm Mist Humidifier/Vaporizer,Jeremy Lonsdale,Appliances
259,Acme� 8" Straight Scissors,Jeremy Lonsdale,"Scissors, Rulers and Trimmers"
260,Heavy-Duty E-Z-D� Binders,Grant Carroll,Binders and Binder Accessories
261,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Carl Ludwig,Paper
262,Deluxe Rollaway Locking File with Drawer,Carlos Daly,Storage & Organization
263,252,Ralph Knight,Telephones and Communication
264,6160,Cindy Schnelling,Telephones and Communication
265,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Claudia Miner,Computer Peripherals
266,Prismacolor Color Pencil Set,Roy Skaria,Pens & Art Supplies
267,Wilson Jones DublLock� D-Ring Binders,Delfina Latchford,Binders and Binder Accessories
268,Binder Posts,Edward Hooks,Binders and Binder Accessories
269,Epson LQ-570e Dot Matrix Printer,Edward Hooks,Office Machines
270,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Don Miller,Bookcases
271,Fellowes PB300 Plastic Comb Binding Machine,Grant Carroll,Binders and Binder Accessories
272,Rush Hierlooms Collection Rich Wood Bookcases,Grant Carroll,Bookcases
273,Avery 481,Brad Eason,Labels
274,Sharp AL-1530CS Digital Copier,Charles McCrossin,Copiers and Fax
275,"SAFCO Commercial Wire Shelving, Black",Charles McCrossin,Storage & Organization
276,Avery Trapezoid Extra Heavy Duty 4" Binders,Charles McCrossin,Binders and Binder Accessories
277,Self-Adhesive Address Labels for Typewriters by Universal,Charles McCrossin,Labels
278,StarTAC Series,Bryan Mills,Telephones and Communication
279,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Monica Federle,Paper
280,Dana Halogen Swing-Arm Architect Lamp,Michelle Lonsdale,Office Furnishings
281,Global Comet� Stacking Armless Chair,Michelle Lonsdale,Chairs & Chairmats
282,Hon 4070 Series Pagoda� Armless Upholstered Stacking Chairs,Michelle Lonsdale,Chairs & Chairmats
283,"Fellowes Internet Keyboard, Platinum",Michelle Lonsdale,Computer Peripherals
284,Deluxe Rollaway Locking File with Drawer,Beth Thompson,Storage & Organization
285,Luxo Economy Swing Arm Lamp,Cindy Schnelling,Office Furnishings
286,"*Staples* vLetter Openers, 2/Pack",Cindy Schnelling,"Scissors, Rulers and Trimmers"
287,Staples 6 Outlet Surge,Nicole Hansen,Appliances
288,Acco Perma� 2700 Stacking Storage Drawers,Nicole Hansen,Storage & Organization
289,Fellowes Stor/Drawer� Steel Plus� Storage Drawers,Nicole Hansen,Storage & Organization
290,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Cari Schnelling,Appliances
291,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Cari Schnelling,Computer Peripherals
292,Lock-Up Easel 'Spel-Binder',Roy Skaria,Binders and Binder Accessories
293,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Susan Vittorini,Paper
294,"Tenex File Box, Personal Filing Tote with Lid, Black",Susan Vittorini,Storage & Organization
295,Fellowes Black Plastic Comb Bindings,Sylvia Foulston,Binders and Binder Accessories
296,Assorted Color Push Pins,Sylvia Foulston,Rubber Bands
297,HP Office Paper (20Lb. and 87 Bright),Chad Cunningham,Paper
298,Staples Vinyl Coated Paper Clips,Chad Cunningham,Rubber Bands
299,Canon MP41DH Printing Calculator,Carlos Daly,Office Machines
300,Newell 310,Carlos Daly,Pens & Art Supplies
301,Kensington 7 Outlet MasterPiece Power Center,Grant Carroll,Appliances
302,"DAX Metal Frame, Desktop, Stepped-Edge",Julia West,Office Furnishings
303,Bush Mission Pointe Library,Roy Skaria,Bookcases
304,Accessory21,Cindy Schnelling,Telephones and Communication
305,8860,Don Jones,Telephones and Communication
306,Array� Memo Cubes,Beth Thompson,Paper
307,"Fiskars 8"" Scissors, 2/Pack",Beth Thompson,"Scissors, Rulers and Trimmers"
308,12 Colored Short Pencils,Alan Barnes,Pens & Art Supplies
309,Pizazz� Global Quick File�,Alan Barnes,Storage & Organization
310,Imation 5.2GB DVD-RAM,Carl Ludwig,Computer Peripherals
311,Acco Perma� 2700 Stacking Storage Drawers,Carl Ludwig,Storage & Organization
312,Portable Personal File Box,Carl Ludwig,Storage & Organization
313,"Snap-A-Way� Black Print Carbonless Speed Message, No Reply Area, Duplicate",Jamie Kunitz,Paper
314,Ibico Covers for Plastic or Wire Binding Elements,Heather Kirkland,Binders and Binder Accessories
315,Hanging Personal Folder File,Heather Kirkland,Storage & Organization
316,Tennsco Double-Tier Lockers,Heather Kirkland,Storage & Organization
317,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Doug Bickford,Paper
318,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Doug Bickford,"Scissors, Rulers and Trimmers"
319,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Doug Bickford,Computer Peripherals
320,PC Concepts 116 Key Quantum 3000 Keyboard,Doug Bickford,Computer Peripherals
321,Epson Stylus 1520 Color Inkjet Printer,Carlos Daly,Office Machines
322,Avery 494,Toby Braunhardt,Labels
323,Self-Adhesive Address Labels for Typewriters by Universal,Toby Braunhardt,Labels
324,Accessory37,Toby Braunhardt,Telephones and Communication
325,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Cari Schnelling,Binders and Binder Accessories
326,Eureka Disposable Bags for Sanitaire� Vibra Groomer I� Upright Vac,Thomas Seio,Appliances
327,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,Thomas Seio,Office Machines
328,"Peel & Seel� Recycled Catalog Envelopes, Brown",Thomas Seio,Envelopes
329,Cardinal Poly Pocket Divider Pockets for Ring Binders,Brendan Dodson,Binders and Binder Accessories
330,Canon PC1060 Personal Laser Copier,Brendan Dodson,Copiers and Fax
331,Sterling Rubber Bands by Alliance,Charlotte Melton,Rubber Bands
332,Newell 312,Beth Thompson,Pens & Art Supplies
333,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Beth Thompson,Tables
334,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Eugene Barchas,Computer Peripherals
335,"Avery Flip-Chart Easel Binder, Black",Michelle Lonsdale,Binders and Binder Accessories
336,GBC Binding covers,Michelle Lonsdale,Binders and Binder Accessories
337,R280,Grant Carroll,Telephones and Communication
338,Accessory9,Beth Paige,Telephones and Communication
339,U.S. Robotics 56K Internet Call Modem,Dorothy Wardle,Computer Peripherals
340,Tennsco Industrial Shelving,Muhammed MacIntyre,Storage & Organization
341,Staples Bulldog Clip,Charlotte Melton,Rubber Bands
342,"Micro Innovations Micro 3000 Keyboard, Black",Muhammed MacIntyre,Computer Peripherals
343,"Fellowes Basic 104-Key Keyboard, Platinum",Claudia Miner,Computer Peripherals
344,Xerox 1882,Claudia Miner,Paper
345,Carina Double Wide Media Storage Towers in Natural & Black,Claudia Miner,Storage & Organization
346,Portable Personal File Box,Brendan Dodson,Storage & Organization
347,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Dorothy Wardle,"Scissors, Rulers and Trimmers"
348,Eldon Cleatmat� Chair Mats for Medium Pile Carpets,Mike Pelletier,Office Furnishings
349,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Edward Hooks,Paper
350,Hon 94000 Series Round Tables,Edward Hooks,Tables
351,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Jamie Kunitz,Office Furnishings
352,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Jamie Kunitz,Binders and Binder Accessories
353,"Global High-Back Leather Tilter, Burgundy",Julia West,Chairs & Chairmats
354,Poly Designer Cover & Back,Jeremy Lonsdale,Binders and Binder Accessories
355,"Lifetime Advantage� Folding Chairs, 4/Carton",Jeremy Lonsdale,Chairs & Chairmats
356,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Jeremy Lonsdale,Office Furnishings
357,Stockwell Push Pins,Jeremy Lonsdale,Rubber Bands
358,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Cindy Schnelling,Computer Peripherals
359,8260,Heather Kirkland,Telephones and Communication
360,3390,Alan Barnes,Telephones and Communication
361,"Global Deluxe Stacking Chair, Gray",Hunter Glantz,Chairs & Chairmats
362,Bevis 36 x 72 Conference Tables,Hunter Glantz,Tables
